nome_empresa,setor,uf_sede,regiao_sede,faturamento_anual,lucro_liquido,potencial_investimento,score_empresa,site,descricao
Avery Dennison,Outros,N/D,Nacional,146400000,14640000,594750,0.719,,LIE: R$0.2M | Rouanet: R$1.6M | Total historico 2022-2025: R$1.8M
Vaccinar Industria E Comercio,Outros,N/D,Nacional,98400000,9840000,399750,0.7187,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Venturoso Valentini,Mineração e Siderurgia,RJ,Sudeste,102720000,10272000,417300,0.7186,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Cts Silva,Outros,N/D,Nacional,92464369,9246437,375636,0.7185,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.2M
Qista,Outros,N/D,Nacional,91831430,9183143,373065,0.7185,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Howden,Outros,N/D,Nacional,82981035,8298104,337110,0.7184,,LIE: R$0.5M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Bhs Corrugated,Outros,N/D,Nacional,98960000,9896000,402025,0.7184,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Inbetta,Outros,N/D,Nacional,162550438,16255044,660361,0.7184,,LIE: R$0.2M | Rouanet: R$1.9M | Total historico 2022-2025: R$2.0M
Regional Telhas,Outros,N/D,Nacional,102104945,10210494,414801,0.7184,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Supera Farma,Outros,N/D,Nacional,84400000,8440000,342875,0.7183,,LIE: R$0.5M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.1M
Jcb Do Brasil Ltda.,Outros,N/D,Nacional,98870588,9887059,401662,0.7181,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Myralis,Outros,N/D,Nacional,88624387,8862439,360037,0.7181,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Tacosola,Outros,N/D,Nacional,95655280,9565528,388600,0.718,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Politec Saude,Saúde,N/D,Nacional,108672064,10867206,441480,0.718,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Fleury,Saúde,SP,Sudeste,85042000,8504200,345483,0.718,,LIE: R$0.5M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.1M
Tobacco House,Outros,N/D,Nacional,98534031,9853403,400294,0.7178,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Truxt Investimentos,Telecomunicações,N/D,Nacional,72736000,7273600,295490,0.7178,,LIE: R$0.6M | Rouanet: R$0.3M | Total historico 2022-2025: R$0.9M
Grupo Elfa,Outros,N/D,Nacional,116800000,11680000,474500,0.7178,,LIE: R$0.3M | Rouanet: R$1.2M | Total historico 2022-2025: R$1.5M
Mgs,Outros,N/D,Nacional,116800000,11680000,474500,0.7178,,LIE: R$0.3M | Rouanet: R$1.2M | Total historico 2022-2025: R$1.5M
Yamana Gold,Outros,N/D,Nacional,173767601,17376760,705931,0.7177,,LIE: R$0.1M | Rouanet: R$2.0M | Total historico 2022-2025: R$2.2M
Belov,Outros,N/D,Nacional,104520063,10452006,424613,0.7177,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Transunion,Outros,N/D,Nacional,93080183,9308018,378138,0.7175,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Grupo Oleoplan,Outros,N/D,Nacional,107320000,10732000,435988,0.7175,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Cegas,Outros,N/D,Nacional,117235975,11723598,476271,0.7175,,LIE: R$0.3M | Rouanet: R$1.2M | Total historico 2022-2025: R$1.5M
Eisa Interagricolas,Outros,N/D,Nacional,104894518,10489452,426134,0.7172,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Alumasa,Outros,N/D,Nacional,92159200,9215920,374397,0.7171,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Uniao Quimica Farmaceutica,Outros,N/D,Nacional,73680000,7368000,299325,0.7171,,LIE: R$0.6M | Rouanet: R$0.4M | Total historico 2022-2025: R$0.9M
Banco Bmp,Financeiro,N/D,Nacional,197456742,19745674,802168,0.7171,,LIE: R$0.1M | Rouanet: R$2.4M | Total historico 2022-2025: R$2.5M
Agristar,Outros,N/D,Nacional,97802472,9780247,397323,0.717,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Nb Maquinas Ltda,Outros,N/D,Nacional,82480000,8248000,335075,0.7168,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Docile,Outros,N/D,Nacional,109280000,10928000,443950,0.7168,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Calcario Cazanga,Outros,N/D,Nacional,91318737,9131874,370982,0.7168,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Euroville,Outros,N/D,Nacional,103027658,10302766,418550,0.7167,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
D.Carvalho,Outros,N/D,Nacional,96828610,9682861,393366,0.7166,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
