processo,proponente,nome_projeto,sli,manifestacao,modalidade_esportiva,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,is_real
71000.073843/2024-59,Juventude Futebol Clube,Atividades da Escolinha Juventude Futebol Clube,2405740,Educacional,Futebol,81.155.129/0001-70,,SC,Sul,487493.69,0.0,487493.69,0.0,2025-02-26,2025-02-26,2027-02-10,2025,Captando,0.745,True
71000.053076/2024-61,Instituto Cultural e Esportivo de Sergipe - Piabinhas do Sao Braz,Centro de Treinamento Esportivo Piabinhas de Sergipe,2402919,Educacional,Futebol/Capoeira,15.276.530/0001-34,Nossa Senhora do Socorro,SE,Nordeste,550000.0,0.0,550000.0,0.0,2024-10-16,2024-10-16,2026-10-01,2024,Captando,0.745,True
71000.073543/2024-70,Associação Desportiva de Teqball,"""Teqball Pelo Brasil 2""",2405604,Educacional,Outros,53.769.742/0001-42,,SP,Sudeste,391947.0,0.0,391947.0,0.0,2025-02-07,2025-02-07,2027-01-13,2025,Captando,0.745,True
71000.063477/2024-20,Associação Varzeagrandense Madre Tereza de Calcutá,Se Jogue CENPRHE,2403896,Educacional,Futsal/Outros_x000D_,10.846.821/0001-05,,MT,Centro-Oeste,431327.84,0.0,431327.84,0.0,2025-02-26,2025-02-26,2027-02-10,2025,Captando,0.745,True
71000.072822/2024-16,Associacao de Futsal Atletico Clevelandense,FAC Futsal do Futuro,2405349,Educacional,Futsal,44.458.296/0001-64,,PR,Sul,195607.0,0.0,195607.0,0.0,2025-02-26,2025-02-26,2026-12-23,2025,Captando,0.745,True
71000.063624/2024-61,Grupo de Apoio a Criança com Câncer de Sergipe (GACC/SE),2º Corrida Fidelimed RUN: Correndo pelo GACC,2403990,Educacional,Corrida de Rua,03.628.747/0001-87,,SE,Nordeste,252413.0,0.0,252413.0,0.0,2025-02-26,2025-02-26,2027-02-10,2025,Captando,0.745,True
71000.071230/2024-87,Associacao Esportiva e Recreativa Botafogo,Botafogo – Santo Augusto,2405136,Educacional,Futebol/Outros,91.998.443/0001-79,,RS,Sul,478035.68,0.0,478035.68,0.0,2025-02-26,2025-02-26,2027-02-10,2025,Captando,0.745,True
71000.076598/2024-31,Instituto ISmaily 31,Atleta Cidadão - Instituto Ismaily 31,2406125,Educacional,Futebol,35.594.870/0001-10,,MT,Centro-Oeste,220346.8,0.0,220346.8,0.0,2025-02-19,2025-02-19,2027-02-10,2025,Captando,0.745,True
71000.070006/2024-78,Associação Desportiva Taubaté Futebol Feminino,Guerreiras Alvi Azul Futebol Feminino,2404900,Educacional,Futebol,23.487.581/0001-33,,SP,Sudeste,325065.4,0.0,325065.4,0.0,2025-02-12,2025-02-12,2026-12-18,2025,Captando,0.745,True
71000.052133/2024-95,Instituto Francisco de Assis de Promocao Humana,Projeto Jita Kyoei Patrulheiros,2402842,Educacional,Judô,48.793.658/0001-24,Campinas,SP,Sudeste,560769.5,0.0,560769.5,0.0,2024-10-09,2024-10-09,2026-10-01,2024,Captando,0.745,True
71000.062549/2024-11,Associacao Beneficente Esportiva Catalana e Ouvidorense,Esporte para todos,2403732,Educacional,Futsal/Outros,08.652.127/0001-05,,GO,Centro-Oeste,879479.65,0.0,879479.65,0.0,2024-12-20,2024-12-20,2026-12-04,2024,Captando,0.745,True
71000.062435/2024-71,Associacao Pro-Esporte e Cultura,"Bom de Nota, Bom de Tênis",2403685,Educacional,Tênis,01.285.504/0001-68,,SP,Sudeste,746592.04,0.0,746592.04,0.0,2024-12-06,2024-12-06,2026-11-11,2024,Captando,0.745,True
71000.058034/2024-17,IHN-Instituição do Homem Novo,Esporte Legal - Futsal e Voleibol - Rio,2403364,Educacional,Futebol/Outros_x000D_,07.700.355/0001-32,,RJ,Sudeste,807741.22,0.0,807741.22,0.0,2024-12-06,2024-12-06,2026-10-30,2024,Captando,0.745,True
71000.052431/2024-85,Instituto S.O.S Reviver - I.S.R,Revivendo Sonhos em Gols,2402860,Educacional,Futebol/Futebol Americano,04.827.803/0001-75,,RJ,Sudeste,791680.92,0.0,791680.92,0.0,2024-12-06,2024-12-06,2026-10-01,2024,Captando,0.745,True
71000.063258/2024-41,Associacao Mundo Azul de Educação,No Aro,2403829,Educacional,Basquete,21.822.296/0001-04,,SP,Sudeste,530475.0,0.0,530475.0,0.0,2024-12-20,2024-12-20,2026-12-04,2024,Captando,0.745,True
71000.063267/2024-31,Instituto Servir e Pualificar Chaya,Esporte sem Barreiras,2403831,Educacional,Outros/Outros,05.952.128/0001-79,,RJ,Sudeste,867409.62,0.0,867409.62,0.0,2024-12-04,2024-12-04,2026-11-11,2024,Captando,0.745,True
71000.054856/2024-29,Valkirias Instituto Paralímpico,Inclusão em Movimento. Superação através do Esporte,2403072,Educacional,nton Badmi/nton Parabadmi/fuebol/Mesa Tênis de/Mesa Tênis de Mesa Paralí/ocha Bocha Paraolí/ondo O,49.035.608/0001-40,,MG,Sudeste,960717.9,0.0,960717.9,0.0,2024-12-04,2024-12-04,2026-10-01,2024,Captando,0.745,True
71000.057271/2024-61,Instituto Favela Radical,Instituto Favela Radical,2403267,Educacional,Outros,39.421.031/0001-51,,RJ,Sudeste,731340.5,0.0,731340.5,0.0,2024-12-11,2024-12-11,2026-10-30,2024,Captando,0.745,True
71000.065272/2024-89,Federação do Estado de Sergipe de Esporte Eletrônico (FESEEE),Phygital Escolar,2404324,Educacional,Basquete 3x3/Outros,27.000.639/0001-23,,SE,Nordeste,150662.81,0.0,150662.81,0.0,2025-02-12,2025-02-12,2026-12-18,2025,Captando,0.745,True
71000.063738/2024-10,Seleto Esporte Clube,Sou Seleto - Ano 7,2404096,Educacional,Futebol,28.285.102/0001-10,,SC,Sul,891500.87,0.0,891500.87,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.061634/2024-62,Santa Cruz Esporte Clube,Campeões para a vida,2403624,Educacional,Futebol 7 Society,36.985.513/0001-46,,GO,Centro-Oeste,588137.5,0.0,588137.5,0.0,2024-12-11,2024-12-11,2026-11-11,2024,Captando,0.745,True
71000.063460/2024-72,Associação Atlética Neurologia Ativa,Corpo e Mente Ativa - Ano 2,2403902,Educacional,Vôlei de quadra/Futsal,35.393.233/0001-86,,GO,Centro-Oeste,840581.6,0.0,840581.6,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.745,True
71000.063238/2024-70,Instituto Unimed Santa Catarina,Esporte Comunitário - Tênis,2403933,Educacional,Tênis,11.407.122/0001-13,,SC,Sul,564330.25,0.0,564330.25,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.062558/2024-11,Instituto Edu Mariano,Basquete Mania - Unidade 3,2403741,Educacional,Basquete,31.658.256/0001-14,,BA,Nordeste,761128.17,0.0,761128.17,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.062560/2024-81,Instituto Edu Mariano,Basquete Mania - Unidade 4,2403744,Educacional,Basquete,31.658.256/0001-14,,BA,Nordeste,762842.64,0.0,762842.64,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.062562/2024-71,Instituto Edu Mariano,Basquete Mania - Unidade 5,2403747,Educacional,Basquete,31.658.256/0001-14,,BA,Nordeste,752624.06,0.0,752624.06,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.062447/2024-04,Associacao Meninas Campeãs,Escolinha de Futebol Meninas Campeãs,2403693,Educacional,Futebol,24.018.647/0001-09,,CE,Nordeste,505965.96,0.0,505965.96,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.745,True
71000.063614/2024-26,Associação Multiesportiva Mandacaru,Jovem do Agreste - Energia para o Futuro do Brasil,2403979,Educacional,Basquete/Vôlei de quadra/Futsal_x000D_,48.862.839/0001-65,,PE,Nordeste,903504.67,0.0,903504.67,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.745,True
71000.049351/2024-42,Associação Napoli Caçadorense,Construindo Campeãs III,2402603,Educacional,Outros,01.186.613/0001-28,,SC,Sul,520375.88,0.0,520375.88,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.745,True
71000.052436/2024-16,Clube de Atletismo de Serrana,Atletismo Cidadania - Talentos do Futuro,2402864,Educacional,Atletismo,13.437.894/0001-23,Serrana,SP,Sudeste,861258.51,0.0,861258.51,0.0,2024-10-16,2024-10-16,2026-10-01,2024,Captando,0.745,True
71000.045231/2024-76,Saomiguelense Futebol Clube,Todos São Saomiguelense,2402279,Educacional,Atletismo/Futebol/Vôlei de quadra/Vôlei de praia/Moutain Bike/Futebol 7 Society/Futevôlei_x000D_,20.323.366/0001-09,,MG,Sudeste,610921.3,0.0,610921.3,0.0,2024-12-06,2024-12-06,2026-10-30,2024,Captando,0.745,True
71000.059260/2024-15,Uniao Municipal Espírita de Pirassununga,Quadra dos Sonhos,2403457,Educacional,Tênis/Beach Tênis_x000D_,54.851.399/0001-43,,SP,Sudeste,589603.23,0.0,589603.23,0.0,2024-12-06,2024-12-06,2026-10-30,2024,Captando,0.745,True
71000.063304/2024-10,Associação Esportiva e Cultural Corinthians Futsal de Iguatu,Esporte - Educação e Vida Construindo o Futuro,2403856,Educacional,Futebol/Vôlei de praia/Futsal/Beach Tênis_x000D_,18.276.718/0001-70,,CE,Nordeste,697870.07,0.0,697870.07,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.039704/2024-04,Instituto Edson Luciano Ribeiro,Projeto Correndo para Vencer Ano II - Unidade Maranha?,2401237,Educacional,Atletismo,11.078.001/0001-75,São Joaquim da Barra,SP,Sudeste,2395693.82,0.0,2395693.82,0.0,2024-08-23,2024-08-23,2026-08-12,2024,Captando,0.745,True
71000.035515/2025-35,Instituto Lucimario Caitano,Escolinha de Futsal,2500462,Educacional,Futsal,07.438.518/0001-50,Maracanaú,CE,Nordeste,297186.68,0.0,297186.68,0.0,2025-06-18,2025-06-18,2027-06-12,2025,Captando,0.745,True
71000.016507/2024-17,Itabirito Sociedade Anônima do Futebol,Gato do Mato II,2400557,Educacional,Futebol,46.474.560/0001-89,Itabirito,MG,Sudeste,2360287.75,0.0,2360287.75,0.0,2024-08-23,2024-08-23,2026-08-12,2024,Captando,0.745,True
71000.045855/2024-93,Associação Brasileira de Futebol Social,Núcleos Futebol Social – Ano II,2402361,Educacional,Futebol,11.479.792/0001-45,São Paulo,SP,Sudeste,1314822.3,0.0,1314822.3,0.0,2024-08-28,2024-08-28,2026-08-12,2024,Captando,0.745,True
71000.039320/2024-83,Associacao Coruja Golfe Clube,Projeto Corujinha Golfe - Continuação 2025,2401196,Educacional,Golfe,30.625.097/0001-99,Louveira,SP,Sudeste,1717508.64,0.0,1717508.64,0.0,2024-08-28,2024-08-28,2026-08-12,2024,Captando,0.745,True
71000.063246/2024-16,Instituto Guga Kuerten,Ano 17 - Programa de Esporte e Educação Campeões da Vida – Núcleos Continente 2,2403818,Educacional,Badminton/Basquete/Futebol/Tênis/Vôlei de quadra/Vôlei de praia/Beach Soccer/Futsal_x000D_,04.003.206/0001/26,,SC,Sul,626468.78,0.0,626468.78,0.0,2024-12-11,2024-12-11,2026-12-04,2024,Captando,0.745,True
71000.073789/2024-41,Associacao Escola de Futsal de Indaial,AEFI Futsal Indaial – Ensinado Futsal e Orientando para o Futuro,2405707,Educacional,Futsal,21.044.659/0001-10,,SC,Sul,338253.18,0.0,338253.18,0.0,2025-02-12,2025-02-12,2027-01-13,2025,Captando,0.745,True
71000.074268/2024-10,Ymbores Rugby Club de Vitoria da Conquista,Xohã Rugby 2,2405953,Educacional,Rugby de 7/Rugby de 15,21.825.910/0001-83,,BA,Nordeste,496014.55,0.0,496014.55,0.0,2025-02-14,2025-02-14,2027-02-10,2025,Captando,0.745,True
71000.015402/2024-32,Associacao de Desenvolvimento Comunitario Uniao BVBB,Meninos da Ilha - Renovando o Sonho Infantil no Futebol,2400514,Educacional,Futebol,19.187.282/0001-06,São Luís,MA,Nordeste,728536.73,0.0,728536.73,0.0,2024-10-11,2024-10-11,2026-10-01,2024,Captando,0.745,True
71000.053056/2024-91,Instituto Esportivo e Social,Meninas do Futuro Futebol,2402906,Educacional,Futebol,12.989.706/0001-07,São Paulo,SP,Sudeste,711004.8,0.0,711004.8,0.0,2024-10-11,2024-10-11,2026-10-01,2024,Captando,0.745,True
71000.053057/2024-35,Instituto Esportivo e Social,Meninas do Futuro Futebol Nordeste,2402907,Educacional,Futebol,12.989.706/0001-07,São Paulo,SP,Sudeste,824140.0,0.0,824140.0,0.0,2024-10-11,2024-10-11,2026-10-01,2024,Captando,0.745,True
71000.042346/2024-17,Instituto Nova Era de Desenvolvimento Socioambiental,Serrana Jovens Talentos - Atletismo para todos,2401627,Educacional,Atletismo,17.302.323/0002-13,,BA,Nordeste,435106.03,0.0,435106.03,0.0,2025-02-14,2025-02-14,2027-01-13,2025,Captando,0.745,True
